title,content,description,language,source,published_at,url,keyword
Government announces infrastructure investment program,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Reuters,2025-06-13 23:44:36.833391,https://example.com/article_143,sample
Erdogan announces new economic reform package,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,Bloomberg,2025-06-21 13:07:36.833391,https://example.com/article_144,sample
Turkish tourism industry bounces back strongly,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,Bloomberg,2025-06-04 00:22:36.833391,https://example.com/article_145,sample
New trade agreement signed between Turkey and EU,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-08 07:03:36.833391,https://example.com/article_146,sample
Istanbul stock exchange hits new record high,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-06-01 23:11:36.833391,https://example.com/article_147,sample
Turkish lira strengthens against dollar after policy announcement,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-06-22 23:20:36.833391,https://example.com/article_148,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-05-29 16:22:36.833391,https://example.com/article_149,sample
Turkish economy shows signs of recovery in latest GDP data,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Bloomberg,2025-06-23 10:29:36.833391,https://example.com/article_150,sample
Central bank governor signals potential rate cuts ahead,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,tr,Hurriyet,2025-06-17 04:58:36.833391,https://example.com/article_151,sample
Turkish tourism industry bounces back strongly,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,en,Reuters,2025-06-18 10:23:36.833391,https://example.com/article_152,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,Haberturk,2025-06-11 19:55:36.833391,https://example.com/article_153,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,tr,BBC,2025-06-24 02:07:36.833391,https://example.com/article_154,sample
Government announces infrastructure investment program,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,en,Hurriyet,2025-06-10 15:49:36.833391,https://example.com/article_155,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,Bloomberg,2025-06-13 13:42:36.833391,https://example.com/article_156,sample
Turkish banks report strong quarterly earnings,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,Reuters,2025-06-06 07:57:36.833391,https://example.com/article_157,sample
Istanbul stock exchange hits new record high,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,en,Anadolu Agency,2025-06-03 12:40:36.833391,https://example.com/article_158,sample
Turkish lira strengthens against dollar after policy announcement,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Reuters,2025-06-26 04:27:36.833391,https://example.com/article_159,sample
Istanbul stock exchange hits new record high,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,CNN,2025-06-21 09:46:36.833391,https://example.com/article_160,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,tr,Haberturk,2025-06-06 19:31:36.833391,https://example.com/article_161,sample
Central bank governor signals potential rate cuts ahead,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Haberturk,2025-05-29 14:53:36.833391,https://example.com/article_162,sample
Istanbul stock exchange hits new record high,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-11 23:43:36.833391,https://example.com/article_163,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-01 21:42:36.833391,https://example.com/article_164,sample
Turkish economy shows signs of recovery in latest GDP data,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,Reuters,2025-06-19 18:27:36.833391,https://example.com/article_165,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,Reuters,2025-06-03 04:03:36.833391,https://example.com/article_166,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,en,Bloomberg,2025-06-16 04:28:36.833391,https://example.com/article_167,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-09 04:43:36.833391,https://example.com/article_168,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,BBC,2025-06-22 12:56:36.833391,https://example.com/article_169,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-05-28 23:48:36.833391,https://example.com/article_170,sample
Turkish tourism industry bounces back strongly,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-06 15:07:36.833391,https://example.com/article_171,sample
Istanbul stock exchange hits new record high,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-05 20:42:36.833391,https://example.com/article_172,sample
Turkish economy shows signs of recovery in latest GDP data,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,Bloomberg,2025-06-07 08:34:36.833391,https://example.com/article_173,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,Hurriyet,2025-06-14 15:05:36.833391,https://example.com/article_174,sample
Turkish banks report strong quarterly earnings,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-06-08 02:22:36.833391,https://example.com/article_175,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,Bloomberg,2025-05-30 03:45:36.833391,https://example.com/article_176,sample
Turkish exports reach all-time high in quarterly results,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-05-31 12:31:36.833391,https://example.com/article_177,sample
Government announces infrastructure investment program,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Hurriyet,2025-06-06 17:30:36.833391,https://example.com/article_178,sample
Turkish banks report strong quarterly earnings,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,CNN,2025-05-29 02:00:36.833391,https://example.com/article_179,sample
Turkish Central Bank raises interest rates to combat inflation,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,BBC,2025-05-31 21:08:36.833391,https://example.com/article_180,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-05-27 13:11:36.833391,https://example.com/article_181,sample
Central bank governor signals potential rate cuts ahead,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Anadolu Agency,2025-06-10 02:54:36.833391,https://example.com/article_182,sample
Istanbul stock exchange hits new record high,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,tr,CNN,2025-06-16 13:33:36.833391,https://example.com/article_183,sample
Government announces infrastructure investment program,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-05-28 10:10:36.833391,https://example.com/article_184,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,CNN,2025-06-07 09:53:36.833391,https://example.com/article_185,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,tr,BBC,2025-06-15 01:30:36.833391,https://example.com/article_186,sample
Central bank governor signals potential rate cuts ahead,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,BBC,2025-06-04 06:01:36.833391,https://example.com/article_187,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,Bloomberg,2025-06-07 16:05:36.833391,https://example.com/article_188,sample
Turkish economy shows signs of recovery in latest GDP data,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-06-11 19:58:36.833391,https://example.com/article_189,sample
Turkish banks report strong quarterly earnings,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,Reuters,2025-06-14 11:08:36.833391,https://example.com/article_190,sample
Inflation concerns grow as food prices surge in Turkey,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,tr,Reuters,2025-06-15 04:53:36.833391,https://example.com/article_191,sample
Erdogan announces new economic reform package,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Bloomberg,2025-06-09 05:21:36.833391,https://example.com/article_192,sample
Turkish exports reach all-time high in quarterly results,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,CNN,2025-06-24 14:47:36.833391,https://example.com/article_193,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Bloomberg,2025-06-05 08:36:36.833391,https://example.com/article_194,sample
Turkish lira strengthens against dollar after policy announcement,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-06-16 23:05:36.833391,https://example.com/article_195,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,tr,Hurriyet,2025-06-03 05:05:36.833391,https://example.com/article_196,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-06-26 20:57:36.833391,https://example.com/article_197,sample
Government announces infrastructure investment program,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,tr,Anadolu Agency,2025-06-04 15:01:36.833391,https://example.com/article_198,sample
Currency volatility increases amid political uncertainty,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Hurriyet,2025-06-10 06:29:36.833391,https://example.com/article_199,sample
Central bank governor signals potential rate cuts ahead,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,CNN,2025-06-01 22:22:36.833391,https://example.com/article_200,sample
Currency volatility increases amid political uncertainty,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-23 11:02:36.833391,https://example.com/article_201,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-23 11:39:36.833391,https://example.com/article_202,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,Anadolu Agency,2025-06-16 15:49:36.833391,https://example.com/article_203,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,Hurriyet,2025-06-18 04:02:36.833391,https://example.com/article_204,sample
Inflation concerns grow as food prices surge in Turkey,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Anadolu Agency,2025-06-03 05:38:36.833391,https://example.com/article_205,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,tr,Reuters,2025-06-16 14:01:36.833391,https://example.com/article_206,sample
New trade agreement signed between Turkey and EU,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,Reuters,2025-05-31 21:39:36.833391,https://example.com/article_207,sample
Government announces infrastructure investment program,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Anadolu Agency,2025-06-02 20:24:36.833391,https://example.com/article_208,sample
Turkish banks report strong quarterly earnings,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,tr,Bloomberg,2025-06-22 10:09:36.833391,https://example.com/article_209,sample
Turkish Central Bank raises interest rates to combat inflation,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Reuters,2025-05-28 10:59:36.833391,https://example.com/article_210,sample
Central bank governor signals potential rate cuts ahead,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,en,Bloomberg,2025-05-31 17:10:36.833391,https://example.com/article_211,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-06-11 13:39:36.833391,https://example.com/article_212,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-15 12:43:36.833391,https://example.com/article_213,sample
Inflation concerns grow as food prices surge in Turkey,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,Reuters,2025-06-01 04:29:36.833391,https://example.com/article_214,sample
Istanbul stock exchange hits new record high,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Bloomberg,2025-06-22 13:04:36.833391,https://example.com/article_215,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,tr,BBC,2025-05-30 16:47:36.833391,https://example.com/article_216,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,en,BBC,2025-06-14 02:20:36.833391,https://example.com/article_217,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,Haberturk,2025-06-03 16:38:36.833391,https://example.com/article_218,sample
Turkish exports reach all-time high in quarterly results,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Reuters,2025-05-31 03:22:36.833391,https://example.com/article_219,sample
Turkish Central Bank raises interest rates to combat inflation,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,Haberturk,2025-05-29 15:06:36.833391,https://example.com/article_220,sample
Turkish Central Bank raises interest rates to combat inflation,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,en,Hurriyet,2025-06-21 13:03:36.833391,https://example.com/article_221,sample
Turkish lira strengthens against dollar after policy announcement,International investors are closely watching Turkish economic developments...,Market analysts predict continued volatility in the coming weeks......,en,Reuters,2025-06-03 14:12:36.833391,https://example.com/article_222,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,CNN,2025-06-13 18:55:36.833391,https://example.com/article_223,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,Bloomberg,2025-05-28 22:42:36.833391,https://example.com/article_224,sample
Turkish exports reach all-time high in quarterly results,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,CNN,2025-06-22 06:31:36.833391,https://example.com/article_225,sample
Central bank governor signals potential rate cuts ahead,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-06-16 21:18:36.833391,https://example.com/article_226,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,BBC,2025-06-03 12:02:36.833391,https://example.com/article_227,sample
Turkish manufacturing sector expands for third consecutive month,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-06-10 22:26:36.833391,https://example.com/article_228,sample
Turkish exports reach all-time high in quarterly results,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,tr,CNN,2025-05-30 14:21:36.833391,https://example.com/article_229,sample
Turkish tourism industry bounces back strongly,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-08 07:34:36.833391,https://example.com/article_230,sample
Istanbul stock exchange hits new record high,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-13 14:03:36.833391,https://example.com/article_231,sample
Inflation concerns grow as food prices surge in Turkey,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,en,Anadolu Agency,2025-05-28 06:22:36.833391,https://example.com/article_232,sample
Turkish economy shows signs of recovery in latest GDP data,Economic indicators show mixed signals for Turkish market outlook...,The government's new economic strategy aims to boost growth and stability......,tr,CNN,2025-05-30 14:37:36.833391,https://example.com/article_233,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-23 23:56:36.833391,https://example.com/article_234,sample
Erdogan announces new economic reform package,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,en,Haberturk,2025-06-14 02:34:36.833391,https://example.com/article_235,sample
Government announces infrastructure investment program,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,BBC,2025-06-19 04:14:36.833391,https://example.com/article_236,sample
Erdogan announces new economic reform package,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,BBC,2025-06-26 17:04:36.833391,https://example.com/article_237,sample
Turkish lira strengthens against dollar after policy announcement,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-06-19 19:15:36.833391,https://example.com/article_238,sample
Turkish economy shows signs of recovery in latest GDP data,International investors are closely watching Turkish economic developments...,The government's new economic strategy aims to boost growth and stability......,tr,CNN,2025-06-20 11:56:36.833391,https://example.com/article_239,sample
Erdogan announces new economic reform package,Market analysts predict continued volatility in the coming weeks...,International investors are closely watching Turkish economic developments......,en,Haberturk,2025-06-17 01:23:36.833391,https://example.com/article_240,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-06-22 21:58:36.833391,https://example.com/article_241,sample
Turkish Central Bank raises interest rates to combat inflation,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,tr,Reuters,2025-06-22 06:48:36.833391,https://example.com/article_242,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-17 05:27:36.833391,https://example.com/article_243,sample
Geopolitical tensions affect Turkish financial markets,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,Hurriyet,2025-06-09 22:52:36.833391,https://example.com/article_244,sample
Turkish manufacturing sector expands for third consecutive month,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,CNN,2025-06-13 10:08:36.833391,https://example.com/article_245,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,en,Hurriyet,2025-06-10 18:49:36.833391,https://example.com/article_246,sample
Turkish economy shows signs of recovery in latest GDP data,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,CNN,2025-06-16 21:35:36.833391,https://example.com/article_247,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,en,Hurriyet,2025-06-08 04:49:36.833391,https://example.com/article_248,sample
Turkish banks report strong quarterly earnings,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,en,CNN,2025-06-20 08:51:36.833391,https://example.com/article_249,sample
Turkish lira strengthens against dollar after policy announcement,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,en,Anadolu Agency,2025-05-31 23:44:36.833391,https://example.com/article_250,sample
Currency volatility increases amid political uncertainty,Market analysts predict continued volatility in the coming weeks...,Economic indicators show mixed signals for Turkish market outlook......,tr,Hurriyet,2025-06-01 14:32:36.833391,https://example.com/article_251,sample
Government announces infrastructure investment program,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,tr,Haberturk,2025-05-28 23:22:36.833391,https://example.com/article_252,sample
Currency volatility increases amid political uncertainty,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-06-04 05:52:36.833391,https://example.com/article_253,sample
Turkish exports reach all-time high in quarterly results,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-23 23:05:36.833391,https://example.com/article_254,sample
Government announces infrastructure investment program,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,en,Bloomberg,2025-06-24 07:50:36.833391,https://example.com/article_255,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-25 06:01:36.833391,https://example.com/article_256,sample
Turkish exports reach all-time high in quarterly results,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Bloomberg,2025-06-02 15:54:36.833391,https://example.com/article_257,sample
Turkish banks report strong quarterly earnings,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,tr,BBC,2025-06-09 19:49:36.833391,https://example.com/article_258,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,Policy makers are considering various options to stabilize the economy......,tr,Bloomberg,2025-06-14 00:27:36.833391,https://example.com/article_259,sample
Geopolitical tensions affect Turkish financial markets,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-23 16:07:36.833391,https://example.com/article_260,sample
Turkish banks report strong quarterly earnings,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,en,Hurriyet,2025-06-09 13:47:36.833391,https://example.com/article_261,sample
Turkish lira strengthens against dollar after policy announcement,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,en,BBC,2025-06-24 18:37:36.833391,https://example.com/article_262,sample
Turkish economy shows signs of recovery in latest GDP data,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,en,CNN,2025-06-06 15:09:36.833391,https://example.com/article_263,sample
Turkish Central Bank raises interest rates to combat inflation,Policy makers are considering various options to stabilize the economy...,International investors are closely watching Turkish economic developments......,en,Anadolu Agency,2025-06-24 10:52:36.833391,https://example.com/article_264,sample
New trade agreement signed between Turkey and EU,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,tr,Anadolu Agency,2025-06-07 04:39:36.833391,https://example.com/article_265,sample
Central bank governor signals potential rate cuts ahead,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,Haberturk,2025-06-16 04:05:36.833391,https://example.com/article_266,sample
Government announces infrastructure investment program,The government's new economic strategy aims to boost growth and stability...,International investors are closely watching Turkish economic developments......,tr,BBC,2025-06-10 12:38:36.833391,https://example.com/article_267,sample
Turkish tourism industry bounces back strongly,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,en,BBC,2025-05-30 01:04:36.833391,https://example.com/article_268,sample
Inflation concerns grow as food prices surge in Turkey,The government's new economic strategy aims to boost growth and stability...,The government's new economic strategy aims to boost growth and stability......,en,Haberturk,2025-06-23 03:56:36.833391,https://example.com/article_269,sample
Istanbul stock exchange hits new record high,Economic indicators show mixed signals for Turkish market outlook...,Market analysts predict continued volatility in the coming weeks......,tr,Reuters,2025-05-30 05:39:36.833391,https://example.com/article_270,sample
Turkish exports reach all-time high in quarterly results,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,Reuters,2025-06-22 23:10:36.833391,https://example.com/article_271,sample
Inflation concerns grow as food prices surge in Turkey,Economic indicators show mixed signals for Turkish market outlook...,Policy makers are considering various options to stabilize the economy......,en,Hurriyet,2025-06-24 14:00:36.833391,https://example.com/article_272,sample
Geopolitical tensions affect Turkish financial markets,Market analysts predict continued volatility in the coming weeks...,The government's new economic strategy aims to boost growth and stability......,en,BBC,2025-06-08 00:10:36.833391,https://example.com/article_273,sample
Turkish manufacturing sector expands for third consecutive month,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,Bloomberg,2025-06-08 01:52:36.833391,https://example.com/article_274,sample
Turkish economy shows signs of recovery in latest GDP data,Economic indicators show mixed signals for Turkish market outlook...,International investors are closely watching Turkish economic developments......,tr,BBC,2025-06-18 04:09:36.833391,https://example.com/article_275,sample
Turkish Central Bank raises interest rates to combat inflation,Market analysts predict continued volatility in the coming weeks...,Policy makers are considering various options to stabilize the economy......,en,BBC,2025-06-12 01:55:36.833391,https://example.com/article_276,sample
Turkish manufacturing sector expands for third consecutive month,Policy makers are considering various options to stabilize the economy...,Market analysts predict continued volatility in the coming weeks......,tr,Hurriyet,2025-06-22 21:01:36.833391,https://example.com/article_277,sample
Central bank governor signals potential rate cuts ahead,Economic indicators show mixed signals for Turkish market outlook...,Economic indicators show mixed signals for Turkish market outlook......,en,BBC,2025-06-06 15:59:36.833391,https://example.com/article_278,sample
Turkish Central Bank raises interest rates to combat inflation,The government's new economic strategy aims to boost growth and stability...,Market analysts predict continued volatility in the coming weeks......,tr,Haberturk,2025-06-17 19:04:36.833391,https://example.com/article_279,sample
Erdogan announces new economic reform package,International investors are closely watching Turkish economic developments...,Policy makers are considering various options to stabilize the economy......,en,Bloomberg,2025-05-28 16:51:36.833391,https://example.com/article_280,sample
New trade agreement signed between Turkey and EU,The government's new economic strategy aims to boost growth and stability...,Economic indicators show mixed signals for Turkish market outlook......,tr,Bloomberg,2025-05-28 00:48:36.833391,https://example.com/article_281,sample
Government announces infrastructure investment program,International investors are closely watching Turkish economic developments...,Economic indicators show mixed signals for Turkish market outlook......,en,Anadolu Agency,2025-05-30 14:03:36.833391,https://example.com/article_282,sample
Inflation concerns grow as food prices surge in Turkey,Policy makers are considering various options to stabilize the economy...,Economic indicators show mixed signals for Turkish market outlook......,en,CNN,2025-06-21 11:28:36.833391,https://example.com/article_283,sample
Turkish manufacturing sector expands for third consecutive month,International investors are closely watching Turkish economic developments...,International investors are closely watching Turkish economic developments......,tr,Anadolu Agency,2025-06-25 13:20:36.833391,https://example.com/article_284,sample
Turkish lira strengthens against dollar after policy announcement,Market analysts predict continued volatility in the coming weeks...,Market analysts predict continued volatility in the coming weeks......,tr,Haberturk,2025-06-12 14:34:36.833391,https://example.com/article_285,sample
